522
-10900 -200 -19600
-10900 -100 -17800
-10900 -100 -20800
-10900 0 -17200
-10900 100 -20900
-10900 100 -21700
-10900 300 -17300
-10900 400 -17600
-10900 400 -18700
-8000 -400 -18300
-8000 -300 -15400
-8000 -300 -20600
-8000 -100 -14200
-8000 0 -22000
-8000 100 -20700
-8000 400 -14600
-8000 400 -18700
-8000 600 -15600
-8000 600 -17300
-6500 -600 -18800
-6500 -500 -20800
-6500 -400 -13700
-6500 -200 -22400
-6500 -100 -12700
-6500 -100 -21200
-6500 200 -19800
-6500 400 -14000
-6500 400 -18400
-6500 600 -15300
-6500 600 -16800
-4176 2304 -2300
-4176 2304 -6300
-4176 2304 -10300
-4176 2304 -14300
-4176 2304 -18300
-4118 3208 -2300
-4118 3208 -6300
-4118 3208 -10300
-4118 3208 -14300
-4118 3208 -18300
-4100 -700 -13000
-4100 -700 -15600
-4100 -700 -17900
-4100 -700 -19900
-4100 -600 -11200
-4100 -400 -9300
-4100 -300 -22600
-4100 -200 -21500
-4100 -100 -7100
-4100 0 -20400
-4100 300 -18600
-4100 500 -16500
-4100 600 -9800
-4100 800 -12300
-4100 800 -14500
-4019 1464 -2300
-4019 1464 -6300
-4019 1464 -10300
-4019 1464 -14300
-4019 1464 -18300
-3747 705 -2300
-3747 705 -6300
-3747 705 -10300
-3747 705 -14300
-3747 705 -18300
-3700 1400 -22300
-3700 1400 -26300
-3700 1700 -22300
-3700 1700 -26300
-3600 2000 -22300
-3600 2000 -26300
-3486 456 -2300
-3486 456 -6300
-3486 456 -10300
-3486 456 -14300
-3486 456 -18300
-3400 900 -22300
-3400 900 -26300
-3191 404 -2300
-3191 404 -6300
-3191 404 -10300
-3191 404 -14300
-3191 404 -18300
-3000 2800 -22300
-3000 2800 -26300
-2900 1200 -18300
-2800 500 -18300
-2800 500 -22300
-2800 500 -26300
-2800 1800 -18300
-2700 -2300 1500
-2698 317 -2300
-2698 317 -6300
-2698 317 -10300
-2698 317 -14300
-2698 317 -18300
-2600 -2500 0
-2600 -1900 1500
-2600 -1000 -16400
-2600 -1000 -20000
-2600 -900 -11400
-2600 -800 -2300
-2600 -800 -6300
-2600 -800 -10300
